barcode,product_name,front_image,ingredients_image,nutrition_image,packaging_image
8901123005397,"Lotte Choco Pie","https://images.openfoodfacts.org/images/products/890/112/300/5397/front_hi.12.full.jpg;https://images.openfoodfacts.org/images/products/890/112/300/5397/front_en.16.full.jpg","https://images.openfoodfacts.org/images/products/890/112/300/5397/ingredients_en.18.full.jpg","https://images.openfoodfacts.org/images/products/890/112/300/5397/nutrition_hi.14.full.jpg;https://images.openfoodfacts.org/images/products/890/112/300/5397/nutrition_en.20.full.jpg",""
8901155101111,"Gulab Jamun mix","https://images.openfoodfacts.org/images/products/890/115/510/1111/front_en.18.full.jpg","","https://images.openfoodfacts.org/images/products/890/115/510/1111/nutrition_en.15.full.jpg",""
8901157021028,"Good Knight Power Active","https://images.openfoodfacts.org/images/products/890/115/702/1028/front_en.6.full.jpg;https://images.openfoodfacts.org/images/products/890/115/702/1028/front_hi.3.full.jpg","","",""
8901207035364,"Honey","https://images.openfoodfacts.org/images/products/890/120/703/5364/front_hi.3.full.jpg;https://images.openfoodfacts.org/images/products/890/120/703/5364/front_en.40.full.jpg","https://images.openfoodfacts.org/images/products/890/120/703/5364/ingredients_en.36.full.jpg","https://images.openfoodfacts.org/images/products/890/120/703/5364/nutrition_en.45.full.jpg",""
8901207900631,"Chyawanprash","https://images.openfoodfacts.org/images/products/890/120/790/0631/front_en.10.full.jpg","https://images.openfoodfacts.org/images/products/890/120/790/0631/ingredients_en.13.full.jpg","https://images.openfoodfacts.org/images/products/890/120/790/0631/nutrition_en.22.full.jpg",""
8901233018362,"Bournvita","https://images.openfoodfacts.org/images/products/890/123/301/8362/front_en.5.full.jpg","https://images.openfoodfacts.org/images/products/890/123/301/8362/ingredients_en.14.full.jpg","https://images.openfoodfacts.org/images/products/890/123/301/8362/nutrition_en.7.full.jpg",""
8901233020624,"Dairy Milk - Home Treats","","","",""
8901233030272,"Perk","https://images.openfoodfacts.org/images/products/890/123/303/0272/front_en.4.full.jpg","https://images.openfoodfacts.org/images/products/890/123/303/0272/ingredients_en.7.full.jpg","https://images.openfoodfacts.org/images/products/890/123/303/0272/nutrition_en.10.full.jpg",""
8901246002075,"Del Monte Tomato Ketchup","https://images.openfoodfacts.org/images/products/890/124/600/2075/front_en.3.full.jpg","https://images.openfoodfacts.org/images/products/890/124/600/2075/ingredients_en.8.full.jpg","https://images.openfoodfacts.org/images/products/890/124/600/2075/nutrition_en.9.full.jpg",""
8901262010023,"Amul pasteurised butter","https://images.openfoodfacts.org/images/products/890/126/201/0023/front_en.7.full.jpg","","https://images.openfoodfacts.org/images/products/890/126/201/0023/nutrition_en.9.full.jpg",""
8901262020039,"Amul cheeze","https://images.openfoodfacts.org/images/products/890/126/202/0039/front_en.29.full.jpg","https://images.openfoodfacts.org/images/products/890/126/202/0039/ingredients_en.25.full.jpg","https://images.openfoodfacts.org/images/products/890/126/202/0039/nutrition_en.19.full.jpg","https://images.openfoodfacts.org/images/products/890/126/202/0039/packaging_en.27.full.jpg"
8901262020046,"Pure Milk Cheese Slices","https://images.openfoodfacts.org/images/products/890/126/202/0046/front_fr.4.full.jpg","https://images.openfoodfacts.org/images/products/890/126/202/0046/ingredients_fr.7.full.jpg;https://images.openfoodfacts.org/images/products/890/126/202/0046/ingredients_en.6.full.jpg","https://images.openfoodfacts.org/images/products/890/126/202/0046/nutrition_en.15.full.jpg",""
8901262070676,"Dark Chocolate","https://images.openfoodfacts.org/images/products/890/126/207/0676/front_en.44.full.jpg;https://images.openfoodfacts.org/images/products/890/126/207/0676/front_hi.3.full.jpg","https://images.openfoodfacts.org/images/products/890/126/207/0676/ingredients_en.11.full.jpg","https://images.openfoodfacts.org/images/products/890/126/207/0676/nutrition_en.46.full.jpg",""
8901262150064,"Amul Taaza 1ltr","https://images.openfoodfacts.org/images/products/890/126/215/0064/front_en.37.full.jpg;https://images.openfoodfacts.org/images/products/890/126/215/0064/front_hi.10.full.jpg","","https://images.openfoodfacts.org/images/products/890/126/215/0064/nutrition_en.39.full.jpg","https://images.openfoodfacts.org/images/products/890/126/215/0064/packaging_en.25.full.jpg"
8901262200196,"Amul Masti Spiced Buttermilk 200ml","https://images.openfoodfacts.org/images/products/890/126/220/0196/front_en.54.full.jpg;https://images.openfoodfacts.org/images/products/890/126/220/0196/front_hi.13.full.jpg","https://images.openfoodfacts.org/images/products/890/126/220/0196/ingredients_en.10.full.jpg","https://images.openfoodfacts.org/images/products/890/126/220/0196/nutrition_hi.15.full.jpg;https://images.openfoodfacts.org/images/products/890/126/220/0196/nutrition_en.24.full.jpg","https://images.openfoodfacts.org/images/products/890/126/220/0196/packaging_en.47.full.jpg"
8901262260121,"Amul Taaza Milky Milk","https://images.openfoodfacts.org/images/products/890/126/226/0121/front_en.52.full.jpg","https://images.openfoodfacts.org/images/products/890/126/226/0121/ingredients_en.54.full.jpg","https://images.openfoodfacts.org/images/products/890/126/226/0121/nutrition_en.56.full.jpg",""
8901414000117,"bhujia","https://images.openfoodfacts.org/images/products/890/141/400/0117/front_en.5.full.jpg","https://images.openfoodfacts.org/images/products/890/141/400/0117/ingredients_en.14.full.jpg","https://images.openfoodfacts.org/images/products/890/141/400/0117/nutrition_en.11.full.jpg","https://images.openfoodfacts.org/images/products/890/141/400/0117/packaging_en.21.full.jpg"
8901414001619,"Kesar Rasbari Barfi","https://images.openfoodfacts.org/images/products/890/141/400/1619/front.7.full.jpg;https://images.openfoodfacts.org/images/products/890/141/400/1619/front_en.7.full.jpg","https://images.openfoodfacts.org/images/products/890/141/400/1619/ingredients.9.full.jpg;https://images.openfoodfacts.org/images/products/890/141/400/1619/ingredients_en.9.full.jpg","https://images.openfoodfacts.org/images/products/890/141/400/1619/nutrition_en.10.full.jpg;https://images.openfoodfacts.org/images/products/890/141/400/1619/nutrition.10.full.jpg",""
